Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
1964.11.13,13-Nov-64,1964,Provoked,AUSTRALIA,New South Wales,"Filming underwater, carrying powerhead",M,25,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,,"White shark, 2.7 m [9'1""], 750-lb ",
1964.11.05,5-Nov-64,1964,Boat,USA,Puerto Rico,Longline fishing,,,"No injury to occupant, shark bit propeller of outboard motor",N,18h00,Mako shark,
1964.10.31,31-Oct-64,1964,Provoked,SOUTH AFRICA,KwaZulu-Natal,Surf fishing,M,,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,,,
1964.10.25,25-Oct-64,1964,Invalid,USA,Florida,Boat Miss Becky  sank 12 miles from shore,,,"No injury to occupants, drove sharks away with paddles",,Night,Invalid,
1964.10.04,4-Oct-64,1964,Unprovoked,AUSTRALIA,Western Australia,"Surfing, but swimming to his board",M,19,Abrasions & 11 teethmarks on right lower leg,N,09h30,"Grey nurse shark, 1.8 m [6']",
1964.09.27,27-Sep-64,1964,Invalid,,,Spearfishing,M,24,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",,11h00,Shark involvement prior to death was not confirmed,
1964.09.20,20-Sep-64,1964,Unprovoked,TAIWAN,Northern Taiwan,Swimming,M,32,FATAL,Y,14h00,,
1964.09.07,7-Sep-64,1964,Unprovoked,TAIWAN,Northern Taiwan,Swimming,M,20,Right thigh &  elbow bitten,N,13h30,1.8 m [6'] shark,
1964.08.26,26-Aug-64,1964,Unprovoked,USA,Florida,Swimming,M,14,Bruised & abraded ankle,N,14h30,,
1964.08.23,23-Aug-64,1964,Unprovoked,MEXICO,Guerrero,Floating on his back in an inner tube,M,19,Right thigh bitten,N,14h00,1.8 to 2.4 m [6' to 8'] shark,
1964.08.22,22-Aug-64,1964,Invalid,USA,Florida,Spearfishing / free diving,M,18,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,,11h30,Invalid,
1964.08.21,21-Aug-64,1964,Unprovoked,USA,Florida,Swimming,M,,"No injury,  bumped repeatedly",N,11h30,3' shark,
1964.08.08,8-Aug-64,1964,Unprovoked,USA,Florida,Spearfishing using scuba,M,28,"No injury, shark hit scuba tank",N,12h00,Hammerhead shark,
1964.08.03,3-Aug-64,1964,Unprovoked,JAPAN,Okayama Prefecture,Swimming,M,12,"Leg bitten, surgically amputated",N,,,
1964.08.00,Aug-64,1964,Unprovoked,PANAMA,San Blas,Free diving / Spearfishingat edge of reef,M,21,Foot lacerated,N,,Less than 1.2 m [4'],
1964.07.27,27-Jul-64,1964,Provoked,USA,Puerto Rico,,M,22,Arm lacerated by speared shark PROVOKED INCIDENT,N,11h00,Nurse shark,
1964.07.16,16-Jul-64,1964,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Searching for remains of  Dr. Marais,M,30,"No injury, shark charged & impaled itself on spear",N,,Zambesi shark,
1964.07.15,15-Jul-64,1964,Invalid,USA,Connecticut,"Yacht Gooney Bird foundered, 4 survivors on raft",,,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",,,Invalid,
1964.07.10,10-Jul-64,1964,Invalid,SOUTH AFRICA,KwaZulu-Natal,Spearfishing ,M,52,FATAL,Y,,,
1964.07.08,8-Jul-64,1964,Provoked,USA,Florida,Tagging sharks,M,,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,,white shark,
1964.07.00.b,Jul-64,1964,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Standing / fishing,M,,"FATAL, leg severed ",Y,,,
1964.07.00.a,Jul-64,1964,Boat,PAPUA NEW GUINEA,New Ireland Province,canoeing,,,"No injury to occupant, canoe struck several times by shark ",N,,,
1964.06.29.a,29-Jun-64,1964,Sea Disaster,BERMUDA,Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),,,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Y,,,
1964.06.28,28-Jun-64,1964,Invalid,USA,New York,Attempting to swim across the Atlantic Ocean,F,29,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",,Night,Shark involvement prior to death was not confirmed,
1964.06.24,24-Jun-64,1964,Boat,USA,California,Fishing,,,"No injury to occupants, shark crashed through windshield of boat",N,,2.1 m [7'] shark,
1964.06.17,17-Jun-64,1964,Boat,PAPUA NEW GUINEA,New Britain,Fishing,M,,"No injury to occupant, shark lifted canoe's outrigger",N,,2.4 m [8'] shark,
1964.06.23,23-Jun-64,1964,Unprovoked,FIJI,Lau Group,Spearfishing,M,23,Buttocks bitten,N,,,
1964.06.02,2-Jun-64,1964,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,40,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",,>17h00,Shark involvement prior to death was not confirmed,
1964.05.30,30-May-64,1964,Unprovoked,PANAMA,Caribbean Coast,Standing,M,47,No injury,N,,Lemon shark ,
1964.05.08,8-May-64,1964,Unprovoked,FIJI,Vita Levu,Spearfishing,M,35,"FATAL, buttocks, lower abdomen & genitalia removed  ",Y,11h30,Tiger shark,
1964.05.00,May-64,1964,Unprovoked,PANAMA,San Blas Islands,Skin diving,M,13,"FATAL, torso / abdomen severely bitten  ",Y,,1.8 m [6'] shark,
1964.04.07,7-Apr-64,1964,Unprovoked,PAPUA NEW GUINEA,Madang Province,Fishing,M,,FATAL,Y,,,
1964.03.28.b,28-Mar-64,1964,Unprovoked,AUSTRALIA,South Australia,Surfing,M,19,Left thigh lacerated,N,,1.8 m [6'] shark,
1964.03.28.a,28-Mar-64,1964,Sea Disaster,PAPUA NEW GUINEA,Central Province,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Presumed FATAL,Y,Midnight,,
1964.03.05,5-Mar-64,1964,Unprovoked,USA,Florida,Skin diving ,M,38,"Minor injury, abdomen abraded when he collided with the shark",N,16h00,1.7 m [5.5'] shark,
1964.03.00,Mar-64,1964,Unprovoked,SENEGAL,Cap Vert Peninsula,Free diving for shell,M,,Thigh & hand bitten,N,,3 m shark,
1964.02.17.R,Reported 17-Feb-1964,1964,Provoked,FIJI,,Fishing,,,Hooked shark bit boat PROVOKED INCIDENT,N,,"Tiger shark, 3.5 m, 250-lb female",
1964.02.14.b,14-Feb-64,1964,Unprovoked,NEW CALEDONIA,,Diving for trochus shell,M,15,"FATAL, foot & part of other leg severed  ",Y,,,
1964.02.14.a,14-Feb-64,1964,Unprovoked,FIJI,Vanua Levu,Spearfishing,M,17,"FATAL, thigh and abdomen bitten ",Y,10h30,,
1964.02.11,11-Feb-64,1964,Unprovoked,NEW ZEALAND,North Island,preparing to go skin diving,M,,Hand lacerated,N,12h00,,
1964.02.10,10-Feb-64,1964,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,26,"No injury to diver, shark bit speargun",N,18h30,"White shark, 3 m [10'] ",
1964.02.08,8-Feb-54,1964,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,M,25,Right ankle lacerated,N,08h45,"White shark, 1.5 m [5'] k",
1964.02.05.b,5-Feb-64,1964,Unprovoked,NEW ZEALAND,North Island,Lying in 2 feet of water,M,,Right leg & shoulder lacerated,N,,"""sand shark""",
1964.02.05.a,5-Feb-64,1964,Unprovoked,NEW ZEALAND,South Island,Swimming,M,19,"FATAL, both legs bitten & right leg severed at knee ",Y,06h45,"White shark, 3 m to 3.7 m [10' to 12'] ",
1964.02.02,2-Feb-64,1964,Invalid,AUSTRALIA,Queensland,Swimming,M,23,Body not recovered  / May have drowned prior to shark involvement,,09h30,Shark involvement prior to death was not confirmed,
1964.02.01,1-Feb-64,1964,Boat,NEW ZEALAND,South Island,Rowing,,,"No injury to occupants , shark nudged oars",N,12h00,1.8 m [6'] shark,
1964.02.00.b,Feb-64,1964,Unprovoked,USA,Florida,Floating,M,12,No injury,N,,Hammerhead shark,
1964.02.00.a,Feb-64,1964,Unprovoked,COSTA RICA,Puntarenas Province,Swimming,M,,"FATAL, right arm & left thigh bitten ",Y,,,
1964.01.27,27-Jan-64,1964,Unprovoked,FIJI,,Spearfishing,,,FATAL,Y,,,
1964.01.23,23-Jan-64,1964,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body surfing,M,39,Heel & ankle bitten,N,16h00,,
1964.01.22,22-Jan-64,1964,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Standing,M,17,Heel bitten,N,11h00,,
1964.01.21,21-Jan-64,1964,Boat,SOUTH AFRICA,Western Cape Province,Shark watching,,,"No injury to occupants, shark holed  boat",N,11h00,"White shark, 3.6 m [11'9""] ",
1964.01.18,18-Jan-64,1964,Unprovoked,AUSTRALIA,Western Australia,Freediving,M,,Arm lacerated,N,,Wobbegong,
1964.01.11,11-Jan-64,1964,Unprovoked,USA,California,Spearfishing / Scuba diving (at surface),M,21,Leg & thigh bitten,N,12h00,White shark (tooth fragment recovered),
1964.01.06.R,Reported 06-Jan-1964,1964,Unprovoked,PAPUA NEW GUINEA,New Britain,Fishing,M,,FATAL,Y,,Tiger shark,
1964.01.04,4-Jan-64,1964,Unprovoked,FIJI,"Lomaloma, Lau",Swimming,F,20,Deep lacerations to her right thigh,N,15h00,,
1964.01.01.b,1-Jan-64,1964,Unprovoked,AUSTRALIA,Western Australia,,,,,UNKNOWN,,,
1964.01.01.a,1-Jan-64,1964,Unprovoked,SOUTH AFRICA,Western Cape Province,Diving for sinkers,M,,Lacerations and puncture wounds in right arm ,N,19h00 / 20h00,2.1 m to 2.4 m  [7' to 8'] shark,
1964.01.00,Jan-64,1964,Invalid,NEW ZEALAND,North Island,Snorkeling,M,,No injury,,07h30,Invalid,
1963.12.29,29-Dec-63,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,F,20,"Right hand & foot severed, thigh & buttock lacerated",N,14h00,"Zambesi shark, 1.8 m [6'] ",
1963.12.26.b,26-Dec-63,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming ,M,24,"Lower leg bitten & foot severed, leg surgically amputated below knee",N,15h00,1.8 m [6']  shark,
1963.12.26.a,26-Dec-63,1963,Unprovoked,AUSTRALIA,Queensland,Sitting on gunwale of boat,M,,"No injury, shark's tail struck his armpit",N,Dawn,"4.3 m [14'], 1000-lb shark",
1963.12.25,25-Dec-63,1963,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,18,"FATAL, shoulders, arms, abdomen & foot bitten  ",Y,15h45,,
1963.12.22.b,22-Dec-63,1963,Invalid,ATLANTIC OCEAN,Between Southampton & Canary Islands,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",,,Invalid,
1963.12.22.a,22-Dec-63,1963,Provoked,SOUTH AFRICA,KwaZulu-Natal,Helping friend land hooked shark,M,13,Foot lacerated  PROVOKED INCIDENT,N,18h30,"Dusky shark, 1 m ",
1963.12.21,21-Dec-63,1963,Provoked,AUSTRALIA,New South Wales,Fishing,M,,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,,"Wobbegong shark, 3' ",
1963.12.20.b,20-Dec-63,1963,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,,Foot lacerated,N,12h00,"White shark, 1.7 m [5.5']",
1963.12.20.a,20-Dec-63,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Splashing in surf,M,15,"FATAL, arm severed, leg bitten",Y,12h40,300- to 400-lb Zambesi shark,
1963.12.08,8-Dec-63,1963,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,23,Torso & hand lacerated,N,12h45,White shark,
1963.12.04.R,4-Dec-63,1963,Unprovoked,NEW BRITAIN,"South Coast, East New Britain",Spearfishing,M,22,"FATAL, leg severely bitten",Y,,Tiger shark,
1963.11.30.b,30-Nov-63,1963,Unprovoked,NEW ZEALAND,South Island,Treading water while alongside capsized yacht,M,20,Hand & lower leg severely injured,N,13h00,Possibly a broadnose 7-gill shark,
1963.11.30.a,30-Nov-63,1963,Provoked,PAPUA NEW GUINEA,Gulf Province,Fishing / standing in waist deep water,F,18,Left arm lacerated  PROVOKED INCIDENT,N,14h00,Tiger shark,
1963.11.28,28-Nov-63,1963,Unprovoked,FIJI, Lau Province,Fishing,F,21,Elbow bitten,N,11h00,>1.2 m [4'] tiger shark,
1963.11.25,25-Nov-63,1963,Unprovoked,FIJI,Vita Levu,Spearing fish,M,25,Ankle & foot bitten,N,14h00,,
1963.11.16.R,Reported 16-Nov-1963,1963,Unprovoked,ITALY,Sicily,Spearfishing,M,28,No injury,N,,,
1963.11.14,14-Nov-63,1963,Provoked,AUSTRALIA,Queensland,Catching sharks under government contract,M,,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,,"White shark, 15'2"" ",
1963.11.12,12-Nov-63,1963,Provoked,USA,Florida,Testing anti-shark cage,M,,No injury PROVOKED INCIDENT,N,11h40,"Silky shark, 1.9 m [6.5']",
1963.11.05.R,Reported 05-Nov-1963,1963,Unprovoked,PAPUA NEW GUINEA,New Britain,Wading,M,,Thigh lacerated ,N,,6' shark,
1963.11.04,4-Nov-63,1963,Unprovoked,PALAU,Western Caroline Islands,Fishing,M,35,Left calf lacerated,N,03h00,Dooley believed his Injury was caused by stingray (Dasyatidae family),
1963.10.16,16-Oct-63,1963,Unprovoked,USA,Florida,"Surf fishing, wading ",M,28,"Right thigh &  foot bruised, right calf  lacerated",N,17h30,500-lb shark,
1963.10.15,15-Oct-63,1963,Provoked,NORTH PACIFIC OCEAN,,Fishing for sharks,M,20,"Right hand lacerated, PROVOKED INCIDENT",N,,,
1963.09.29,29-Sep-63,1963,Unprovoked,CHILE,,Spearfishing / free diving,M,,FATAL,Y,11h00,"White shark, 4 m [13'] rk",
1963.09.26,26-Sep-63,1963,Invalid,USA,Florida,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",,25,Numerous dusky sharks & a 3 m to 4.6 m [10' to 15']  tiger sharks tried to overturn raft and one took Mrs. Dumas' body; scavenging by shark/s,,,Invalid,
1963.09.22,22-Sep-63,1963,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Spearing fish,M,30,"FATAL, right thigh, calf & foot bitten ",Y,13h00,5.5 m [18'] shark,
1963.09.13,13-Sep-63,1963,Provoked,AUSTRALIA,New South Wales,Surfing,M,18,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,09h30,1.5 m [5'] shark,
1963.09.10,10-Sep-63,1963,Provoked,USA,Florida,"Spearfishing, pulled shark's tail",M,16,Minor injury to left forearm  PROVOKED INCIDENT,N,13h30,"Nurse shark, 1.2 m [4'] ",
1963.08.00,Aug-63,1963,Unprovoked,DOMINICAN REPUBLIC,Santo Domingo,"Swimming, when caught in heavy seas",M,23 & 26,"FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" ",Y,,8 sharks,
1963.07.28,28-Jul-63,1963,Unprovoked,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,Spearfishing,M,26,Upper left arm bitten,N,08h00,Tiger shark,
1963.07.15,15-Jul-63,1963,Unprovoked,USA,Florida,Bathing,M,14,"Left forearm bitten, surgically amputated?",N,Late afternoon,,
1963.07.11,11-Jul-63,1963,Provoked,USA,Mississippi,"Fishing, on charter boat Silver Dollar",M,24,"Cuts on right hand, PROVOKED INCIDENT",N,,1.2 m [4'] shark,
1963.07.10.R,Reported 10-Jul-1963,1963,Sea Disaster,JAMAICA,,63' fishing boat Sno' Bay foundered,,,No survivors & a body sighted could not be recovered because of sharks,Y,,,
1963.07.00,Jul-63,1963,Unprovoked,PANAMA,San Blas coast,"Seining for bait, standing in chest-deep water",M,,"FATAL, foot nearly severed ",Y,,,
1963.06.01.b,1-Jun-63,1963,Unprovoked,GREECE,Thessaly,Swimming,F,42,FATAL,Y,16h30,"White shark, 3 m ",
1963.06.01.a,1-Jun-63,1963,Provoked,PAPUA NEW GUINEA,Central Province,Fishing,M,30,"Hooked shark bit his nose, arm and leg PROVOKED INCIDENT",N,Morning,1.8 m [6'] shark,
1963.05.18,18-May-63,1963,Invalid,USA,California,Swimming,M,,3 lacerations below right knee,,,Shark involvement not confirmed,
1963.05.14,14-May-63,1963,Sea Disaster,PHILIPPINES,Luzon Island,"Boat, with 42 passengers onboard, capsized in rough seas",,,"Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.",Y,,,
1963.04.22,22-Apr-63,1963,Provoked,AUSTRALIA,New South Wales,Fishing,M,,Foot lacerated by netted shark PROVOKED INCIDENT,N,,Grey nurse shark,
1963.04.20,20-Apr-63,1963,Unprovoked,USA,US Virgin Islands,Swimming,M,25,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ",Y,13h50,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis",
1963.04.17,17-Apr-63,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,15,Buttock bitten,N,12h45,,
1963.04.13,13-Apr-63,1963,Unprovoked,AUSTRALIA,Western Australia,"Surfing on ""chest board"" (boogie board?)",M,25,Arm bitten,N,,1.8 m to 2.4 m  [6' to 8'] shark,
1963.04.12,12-Apr-63,1963,Unprovoked,USA,Hawaii,Surfing ,M,15,Left foot & leg bitten,N,14h00,3.7 to 4.5 m [12' to 15'] shark seen in vicinity,
1963.04.08,8-Apr-63,1963,Invalid,USA,Hawaii,Washed into sea while picking opihi,M,,"May have drowned prior to shark involvement, partial remains recovered",,,Shark involvement prior to death was not confirmed,
1963.03.30,30-Mar-63,1963,Sea Disaster,SOLOMON ISLANDS,Bougainville (North Solomons),The 500-ton coastal trader Polurrian foundered ,M,,FATAL,Y,Night,,
1963.02.27,27-Feb-63,1963,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Swimming,M,,Right shoulder bitten,N,11h00,,
1963.02.24,24-Feb-63,1963,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,18,Left leg lacerated,N,Afternoon,"Bronze whaler shark, 3 m [10'] ",
1963.02.08,8-Feb-63,1963,Unprovoked,FIJI,Lomaiviti  Island Group,Spearfishing,M,28,Left arm bitten,N,10h00,"White shark, 2.1 m [7'] ",
1963.02.06,6-Feb-63,1963,Unprovoked,MAURITIUS,Rodrigues,,M,24,Laceration to right forearm,N,,,
1963.02.04,4-Feb-63,1963,Invalid,USA,Florida,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,,Two shark-bitten lifejackets were recovered leading to speculation that sharks took at least 2 of the 39 missing crewmen,,,Shark involvement prior to death was not confirmed,
1963.01.30,30-Jan-63,1963,Unprovoked,FIJI,,Freediving,M,41,Hand & arm severely lacerated,N,,,
1963.01.28,28-Jan-63,1963,Unprovoked,AUSTRALIA,New South Wales,Wading,F,32,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",Y,13h30,"Tooth fragments of ""whaler"" shark were recovered, a bull shark, according to Edwards",
1963.01.26,26-Jan-63,1963,Invalid,AUSTRALIA,New South Wales,Swimming,M,25,"9' shark in area when he disappeared, body not recovered",,16h30,Shark involvement prior to death was not confirmed,
1963.01.22,22-Jan-63,1963,Boat,SOUTH AFRICA,Western Cape Province,Fishing ,,,"No injury to occupant, shark leapt inside boat",N,,193-lb shark,
1963.01.14,14-Jan-63,1963,Provoked,NEW ZEALAND,North Island,Fishing,,14,Minor lacerations to hand and arm after he seized the shark's tail PROVOKED INCIDENT,N,Afternoon,"Grey nurse shark, 1.8 m [6'] ",
1963.01.12,12-Jan-63,1963,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,,Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT,N,,<1.5 m shark,
1963.01.11,11-Jan-63,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Free diving, hunting crayfish",M,27,Lacerations & punctures on left  forearm,N,12h15,1 m shark,
1963.01.06,6-Jan-63,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,24,Lacerations to right  arm,N,16h00,"Zambesi shark, 2 m [6'9""] ",
1963.01.04,4-Jan-63,1963,Provoked,AUSTRALIA,South Australia,Shark fishing,,,No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT,N,,"White shark, 16', 2,312-lb ",
1963.01.00,Jan-63,1963,Boat,MOZAMBIQUE,,,,,"No injury to occupant. Shark tore chunk from canoe, then bumped 2 other canoes",N,,Zambesi shark,
1963.00.00.b,Early 1963,1963,Unprovoked,FIJI,Vita Levu,,,,No details,UNKNOWN,,,
1963.00.00.a,1963,1963,Unprovoked,SEYCHELLES,,Fishing for turtles,M,,Fatal,Y,,,
1962.12.30,30-Dec-62,1962,Provoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,M,,Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT,N,10h30,"Dusky shark, 1 m ",
1962.12.09,9-Dec-62,1962,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,16,"FATAL, right leg bitten thigh to calf  ",Y,14h30,"White shark, 4.3 m [14'] (or bronze whaler)",
1962.12.00,Dec-62,1962,Boat,SOUTH AFRICA,Western Cape Province,Fishing,,,"No injury to occupants, shark jumped onboard, knocking 2 anglers onto the deck",N,,"2 m [6'9""], 87.5-kg [193-lb]  shark",
1962.11.29,29-Nov-62,1962,Unprovoked,AUSTRALIA,New South Wales,"Spearfishing, Scuba diving",M,26,"No injury, shark bit spear & dragged diver 90'",N,,3 m [10'] shark,
1962.11.25,25-Nov-62,1962,Invalid,AUSTRALIA,Queensland,,M,,"Skeletonized, except for head & feet. Possible drowning / scavenging",,,Shark involvement prior to death was not confirmed,
1962.11.11,11-Nov-62,1962,Unprovoked,USA,California,Spearfishing / Scuba diving (at surface),M,24,"Arm, hand, buttock, leg and thigh bitten",N,12h45 / 13h45,"White shark, 4.3 m to 4.9m [14' to 16']",
1962.11.10,10-Nov-62,1962,Boat,AUSTRALIA,New South Wales,Fishing,,,No injury to occupants. Shark rammed boat as they were pulling in a flathead,N,,3 m [10'] blue whaler,
1962.11.00,Nov-62,1962,Sea Disaster,MID ATLANTIC OCEAN,,Abandoning burning ship Captain George in raging seas,M,,"No injury, shark bit his boot",N,06h00,,
1962.10.28,28-Oct-62,1962,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,30,Arm lacerated (minor injury),N,15h00,,
1962.10.25,25-Oct-62,1962,Unprovoked,MEXICO,Veracruz,Wading,M,32,"FATAL, both legs bitten  ",Y,08h30,2.7 m [9'] shark,
1962.10.15,15-Oct-62,1962,Unprovoked,ADMIRALTY ISLANDS,Manus Island,,M,26,Facial lacerations,N,,,
1962.10.14,14-Oct-62,1962,Boat,AUSTRALIA,South Australia,Adrift after wave swamped engine,M,,"No injury to occupant, shark ""nibbled"" at boat",N,,Grey nurse shark,
1962.10.06,6-Oct-62,1962,Invalid,USA,California,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",F,43,Drowned due to CO2 poisoning - Post Mortem scavanging by blue shark,,,Shark involvement prior to death was not confirmed,
1962.10.00,Oct-62,1962,Unprovoked,PANAMA,Pinas Bay,Sitting in shallows,M,1,"FATAL, body not recovered",Y,,,
